"POS","Stress","Word","Definition","Subtype","unredup word?","unredup definition","Type of redup","Dim. shifted C?","epenthesis/deletion?","Notes"
"N",1,"ač̓áyˀač̓ay","young magpie","bird","áč̓ay","magpie","dim","N","Y","glottal stop insertion, stress on different vowel"
"N",1,"ac̓ɨ́xac̓x","cowlick, hair part","body part",,,,,"Y",
"N",1,"ákak","goose","bird",,,"bird call",,"N",
"N",1,"akáłakał","pupil of eye","body part","akáł","eyeball","dim","N","N",
"N",1,"ak̓páyak̓pay","kidney","body part",,,,,,"Some pronounce with glottal between"
"N",2,"alaˀála","nettles","plant",,,,,,"related to NP ˀala fire"
"N",1,"alɨ́xalx","wing","body part",,,,,"Y",
"N",2,"alpaˀálpa","alfalfa","plant",,,,,,"loanword, glottal stop"
"N",1,"áłˀał","fin","body part",,,,,,
"N",2,"amčaˀámča","wampum",,,,,,,"glottal stop"
"N",2,"apáp","hand","body part",,,,,,
"N",1,"apɨ́lapɨl","headlice","insect","apɨ́n","bedbug","dim","Y","N",
"N",1,"apɨ́łapł","leaves","plant",,,,,"Y",
"N",2,"asás","nit, louse egg","insect",,,,,,
"nursery",1,"atatúsˀatatus","said when bouncing a child on the knee",,,,"other",,,
"N",1,"áx̣šax̣š","dentalium","fish",,,,,,"Some pronounce with glottal between"
"N",2,"ayáy","rainbow trout","fish",,,,,,
"A",1,"c̓áac̓aa","very close","intensifier","c̓áa","near","intensifier",,,
"N",2,"čakčákt","cocklebur, burdock","plant",,,"dim","k",,"deletion of t"
"N",2,"čaqčáqt","cocklebur","plant",,,,,,"deletion of t"
"V",1,"č̓áyč̓ayn","have mange",,,,,,,
"N",1,"c̓íkc̓ik","wagon",,,,,,,"loanword from Jargon"
"V",2,"c̓iluc̓ílun","turn every which way","repeated action","c̓íiln","be a circle",,,,
"A",2,"c̓ɨlc̓ɨ́l","arrogant","intensifier","c̓ɨ́lin","be proud of",,,,"keeps barred I"
"A",2,"c̓ɨmtc̓ɨ́mt","easy to bend",,"c̓ɨ́mt","cracked, broken off",,,,
"N",1,"c̓ɨ́pc̓p","salmon chips with oil",,,,,,,"keeps barred I"
"N",1,"čúkčuk","fruit of cottonwood tree","plant",,,,,,
"N",2,"čukčúkt","cocklebur",,,,,,,
"V",1,"cuníncuninn","walk back and forth","repeated action",,,"action",,,
"V",1,"c̓úpc̓up","suck",,,,,,,
"V",1,"c̓úxc̓uxn","suck, sip",,,,,,,
"V",1,"háašhaašn","pant, breathe heavily","repeated action","háašn","breathe",,,,
"A",2,"hawlapáwlap","energetic",,,,,,,"missing h"
"A",2,"hawtháwt","soft, mushy",,"háwtn","be a landslide",,,,
"N",2,"hišhíš","gnat, midge","insect",,,,,,
"N",2,"huq̓húq̓","hog","animal",,,,,,"loanword"
"N",2,"hutuhútu","wild tobacco","plant",,,,,,
"N",1,"ɨmáˀɨma","Blalock island",,"ɨmá","island",,,"Y","keeps barred I"
"N",2,"ɨstɨ́st","porcupine quill","body part","ɨstí","needle",,,,"keeps barred I"
"N",1,"ɨstxlíˀɨstxli","deer fly","insect",,,,,"Y","keeps barred I"
"N",1,"ɨsxɨ́nˀɨsxɨn","side fins","body part",,,,,,"keeps barred I"
"N",2,"kac̓askác̓as","breath",,,,,,,
"N",1,"kalámkalam","lodgepole pine","plant",,,,,,
"N",2,"kaluxkálux","jack blue salmon","fish","kálux","sockeye salmon","dim",,,
"N",2,"kawxkáwx","palomino horse","animal",,,,,,
"N",1,"k̓ayák̓aya","seagull","bird",,,,,,
"N",1,"k̓aylásk̓aylas","seagull","bird",,,,,,
"N",1,"káyxkayx","any bright flower","plant",,,,,,
"N",2,"k̓iix̣k̓íix̣","dun colored horse","animal",,,,,,
"N",2,"k̓ikumsk̓íkums","chiefs’ serpentine dance",,,,,,,
